dist_img,img,dist,ver,ref_img,mos,var
images/I01_01_01.png,I01,01,01,images/I01.png,4.57,0.496
images/I01_01_02.png,I01,01,02,images/I01.png,4.33,0.8690000000000001
images/I01_01_03.png,I01,01,03,images/I01.png,2.67,0.789
images/I01_01_04.png,I01,01,04,images/I01.png,1.67,0.596
images/I01_01_05.png,I01,01,05,images/I01.png,1.1,0.3
images/I01_02_01.png,I01,02,01,images/I01.png,3.83,0.86
images/I01_02_02.png,I01,02,02,images/I01.png,2.27,0.772
images/I01_02_03.png,I01,02,03,images/I01.png,1.53,0.67
images/I01_02_04.png,I01,02,04,images/I01.png,1.23,0.418
images/I01_02_05.png,I01,02,05,images/I01.png,1.2,0.4
images/I01_03_01.png,I01,03,01,images/I01.png,4.73,0.442
images/I01_03_02.png,I01,03,02,images/I01.png,3.97,0.657
images/I01_03_03.png,I01,03,03,images/I01.png,2.7,0.9359999999999999
images/I01_03_04.png,I01,03,04,images/I01.png,2.03,0.795
images/I01_03_05.png,I01,03,05,images/I01.png,1.5,0.5
images/I01_04_01.png,I01,04,01,images/I01.png,4.73,0.512
images/I01_04_02.png,I01,04,02,images/I01.png,2.17,1.035
images/I01_04_03.png,I01,04,03,images/I01.png,1.37,0.547
images/I01_04_04.png,I01,04,04,images/I01.png,1.5,0.619
images/I01_04_05.png,I01,04,05,images/I01.png,1.47,0.8059999999999999
images/I01_05_01.png,I01,05,01,images/I01.png,4.0,0.856
images/I01_05_02.png,I01,05,02,images/I01.png,2.2,0.909
images/I01_05_03.png,I01,05,03,images/I01.png,1.57,0.5589999999999999
images/I01_05_04.png,I01,05,04,images/I01.png,1.33,0.537
images/I01_05_05.png,I01,05,05,images/I01.png,1.6,0.611
images/I01_06_01.png,I01,06,01,images/I01.png,4.23,0.7609999999999999
images/I01_06_02.png,I01,06,02,images/I01.png,4.4,0.5539999999999999
images/I01_06_03.png,I01,06,03,images/I01.png,3.9,0.943
images/I01_06_04.png,I01,06,04,images/I01.png,2.9,0.831
images/I01_06_05.png,I01,06,05,images/I01.png,2.27,0.929
images/I01_07_01.png,I01,07,01,images/I01.png,2.73,1.123
images/I01_07_02.png,I01,07,02,images/I01.png,2.5,1.025
images/I01_07_03.png,I01,07,03,images/I01.png,2.27,1.062
images/I01_07_04.png,I01,07,04,images/I01.png,2.47,1.147
images/I01_07_05.png,I01,07,05,images/I01.png,2.2,0.945
images/I01_08_01.png,I01,08,01,images/I01.png,4.7,0.45799999999999996
images/I01_08_02.png,I01,08,02,images/I01.png,3.77,0.616
images/I01_08_03.png,I01,08,03,images/I01.png,2.73,1.062
images/I01_08_04.png,I01,08,04,images/I01.png,1.97,0.912
images/I01_08_05.png,I01,08,05,images/I01.png,1.67,0.6990000000000001
images/I01_09_01.png,I01,09,01,images/I01.png,4.6,0.49
images/I01_09_02.png,I01,09,02,images/I01.png,4.67,0.537
images/I01_09_03.png,I01,09,03,images/I01.png,4.4,0.611
images/I01_09_04.png,I01,09,04,images/I01.png,2.9,1.044
images/I01_09_05.png,I01,09,05,images/I01.png,1.37,0.547
images/I01_10_01.png,I01,10,01,images/I01.png,4.37,0.657
images/I01_10_02.png,I01,10,02,images/I01.png,3.93,0.8540000000000001
images/I01_10_03.png,I01,10,03,images/I01.png,3.77,0.8029999999999999
images/I01_10_04.png,I01,10,04,images/I01.png,1.58,0.555
