fpath,mos,description,ref_img
jp2k/img2.bmp,15.512954417537028,studentsculpture,refimgs/studentsculpture.bmp
jp2k/img3.bmp,24.09025497677203,rapids,refimgs/rapids.bmp
jp2k/img4.bmp,68.99086164929872,dancers,refimgs/dancers.bmp
jp2k/img5.bmp,74.39794796497739,churchandcapitol,refimgs/churchandcapitol.bmp
jp2k/img6.bmp,69.2292141708657,dancers,refimgs/dancers.bmp
jp2k/img7.bmp,53.57873192014601,churchandcapitol,refimgs/churchandcapitol.bmp
jp2k/img8.bmp,39.37667556675135,stream,refimgs/stream.bmp
jp2k/img10.bmp,43.42259860497224,woman,refimgs/woman.bmp
jp2k/img12.bmp,34.802951811201964,sailing3,refimgs/sailing3.bmp
jp2k/img13.bmp,46.684096124058215,buildings,refimgs/buildings.bmp
jp2k/img14.bmp,45.67949064903939,paintedhouse,refimgs/paintedhouse.bmp
jp2k/img15.bmp,12.692083542828541,bikes,refimgs/bikes.bmp
jp2k/img17.bmp,65.23107378633902,stream,refimgs/stream.bmp
jp2k/img18.bmp,29.39224918059548,carnivaldolls,refimgs/carnivaldolls.bmp
jp2k/img19.bmp,3.8890621428635583,sailing1,refimgs/sailing1.bmp
jp2k/img21.bmp,22.461157863083844,coinsinfountain,refimgs/coinsinfountain.bmp
jp2k/img23.bmp,35.59966912005858,woman,refimgs/woman.bmp
jp2k/img26.bmp,11.714566786308875,manfishing,refimgs/manfishing.bmp
jp2k/img27.bmp,48.4017211733363,house,refimgs/house.bmp
jp2k/img28.bmp,70.94908661426099,coinsinfountain,refimgs/coinsinfountain.bmp
jp2k/img29.bmp,63.644935917203554,buildings,refimgs/buildings.bmp
jp2k/img30.bmp,75.20085071703139,building2,refimgs/building2.bmp
jp2k/img31.bmp,23.258787473568603,ocean,refimgs/ocean.bmp
jp2k/img32.bmp,76.28674666689452,rapids,refimgs/rapids.bmp
jp2k/img33.bmp,52.785636451117234,buildings,refimgs/buildings.bmp
jp2k/img34.bmp,8.613511703300915,studentsculpture,refimgs/studentsculpture.bmp
jp2k/img37.bmp,25.854249036910815,ocean,refimgs/ocean.bmp
jp2k/img38.bmp,65.85757417524141,sailing3,refimgs/sailing3.bmp
jp2k/img39.bmp,26.960368393676966,sailing4,refimgs/sailing4.bmp
jp2k/img40.bmp,75.7811284764878,paintedhouse,refimgs/paintedhouse.bmp
jp2k/img41.bmp,43.696253511551454,building2,refimgs/building2.bmp
jp2k/img42.bmp,54.17424655185858,womanhat,refimgs/womanhat.bmp
jp2k/img43.bmp,67.6967798207526,sailing1,refimgs/sailing1.bmp
jp2k/img44.bmp,71.61970727692339,flowersonih35,refimgs/flowersonih35.bmp
jp2k/img45.bmp,74.14564153374137,churchandcapitol,refimgs/churchandcapitol.bmp
jp2k/img46.bmp,73.09174201136065,cemetry,refimgs/cemetry.bmp
jp2k/img47.bmp,48.08894690810563,house,refimgs/house.bmp
jp2k/img48.bmp,77.32511548366256,cemetry,refimgs/cemetry.bmp
jp2k/img49.bmp,13.501078103650578,caps,refimgs/caps.bmp
jp2k/img51.bmp,20.52307378942626,lighthouse,refimgs/lighthouse.bmp
jp2k/img52.bmp,51.011385213379874,sailing4,refimgs/sailing4.bmp
jp2k/img53.bmp,62.47597192836157,plane,refimgs/plane.bmp
jp2k/img55.bmp,46.03974281634614,sailing2,refimgs/sailing2.bmp
jp2k/img56.bmp,41.28402576683269,monarch,refimgs/monarch.bmp
jp2k/img58.bmp,5.651469652190897,plane,refimgs/plane.bmp
jp2k/img59.bmp,10.109294080950896,sailing2,refimgs/sailing2.bmp
jp2k/img60.bmp,63.376792364010086,studentsculpture,refimgs/studentsculpture.bmp
jp2k/img61.bmp,21.45709519844654,monarch,refimgs/monarch.bmp
jp2k/img62.bmp,6.320751746555565,sailing2,refimgs/sailing2.bmp
jp2k/img63.bmp,30.07521146577485,manfishing,refimgs/manfishing.bmp
jp2k/img65.bmp,82.98273370788652,dancers,refimgs/dancers.bmp
jp2k/img68.bmp,24.82662376759264,caps,refimgs/caps.bmp
jp2k/img69.bmp,5.909674455410709,ocean,refimgs/ocean.bmp
jp2k/img71.bmp,80.121282737048,stream,refimgs/stream.bmp
jp2k/img74.bmp,52.08982994049394,lighthouse2,refimgs/lighthouse2.bmp
jp2k/img75.bmp,11.035277608283096,womanhat,refimgs/womanhat.bmp
jp2k/img77.bmp,12.523344239786702,coinsinfountain,refimgs/coinsinfountain.bmp
jp2k/img78.bmp,30.57070176854073,bikes,refimgs/bikes.bmp
jp2k/img79.bmp,79.16743675958445,carnivaldolls,refimgs/carnivaldolls.bmp
jp2k/img80.bmp,20.56698474721343,house,refimgs/house.bmp
jp2k/img81.bmp,44.74511025359578,rapids,refimgs/rapids.bmp
jp2k/img82.bmp,11.339054336612762,paintedhouse,refimgs/paintedhouse.bmp
jp2k/img83.bmp,42.36932036075071,caps,refimgs/caps.bmp
jp2k/img85.bmp,18.563119639992887,parrots,refimgs/parrots.bmp
jp2k/img86.bmp,76.23532996373504,flowersonih35,refimgs/flowersonih35.bmp
jp2k/img88.bmp,66.04417836262544,sailing1,refimgs/sailing1.bmp
jp2k/img90.bmp,11.324709943682542,sailing4,refimgs/sailing4.bmp
jp2k/img91.bmp,48.72445543811661,lighthouse,refimgs/lighthouse.bmp
