fpath,mos,fpath_ori,ref_img
SRimages_resized/Bicubic/sf2/sigma0.8/187058.png,7.65,SRimages/Bicubic/sf2/sigma0.8/187058.png,GTimages/187058.jpg
SRimages_resized/Bicubic/sf2/sigma0.8/130066.png,6.9,SRimages/Bicubic/sf2/sigma0.8/130066.png,GTimages/130066.jpg
SRimages_resized/Bicubic/sf2/sigma0.8/103006.png,6.925,SRimages/Bicubic/sf2/sigma0.8/103006.png,GTimages/103006.jpg
SRimages_resized/Bicubic/sf2/sigma0.8/117025.png,6.225,SRimages/Bicubic/sf2/sigma0.8/117025.png,GTimages/117025.jpg
SRimages_resized/Bicubic/sf2/sigma0.8/201080.png,7.75,SRimages/Bicubic/sf2/sigma0.8/201080.png,GTimages/201080.jpg
SRimages_resized/Bicubic/sf2/sigma0.8/368037.png,8.475,SRimages/Bicubic/sf2/sigma0.8/368037.png,GTimages/368037.jpg
SRimages_resized/Bicubic/sf2/sigma0.8/29030.png,7.8,SRimages/Bicubic/sf2/sigma0.8/29030.png,GTimages/29030.jpg
SRimages_resized/Bicubic/sf2/sigma0.8/226043.png,7.375,SRimages/Bicubic/sf2/sigma0.8/226043.png,GTimages/226043.jpg
SRimages_resized/Bicubic/sf2/sigma0.8/281017.png,6.6,SRimages/Bicubic/sf2/sigma0.8/281017.png,GTimages/281017.jpg
SRimages_resized/Bicubic/sf2/sigma0.8/35028.png,7.9,SRimages/Bicubic/sf2/sigma0.8/35028.png,GTimages/35028.jpg
SRimages_resized/Bicubic/sf2/sigma0.8/335094.png,7.35,SRimages/Bicubic/sf2/sigma0.8/335094.png,GTimages/335094.jpg
SRimages_resized/Bicubic/sf2/sigma0.8/259060.png,7.975,SRimages/Bicubic/sf2/sigma0.8/259060.png,GTimages/259060.jpg
SRimages_resized/Bicubic/sf2/sigma0.8/33044.png,7.85,SRimages/Bicubic/sf2/sigma0.8/33044.png,GTimages/33044.jpg
SRimages_resized/Bicubic/sf2/sigma0.8/335088.png,7.325,SRimages/Bicubic/sf2/sigma0.8/335088.png,GTimages/335088.jpg
SRimages_resized/Bicubic/sf2/sigma0.8/48025.png,7.625,SRimages/Bicubic/sf2/sigma0.8/48025.png,GTimages/48025.jpg
SRimages_resized/Bicubic/sf2/sigma0.8/94095.png,7.95,SRimages/Bicubic/sf2/sigma0.8/94095.png,GTimages/94095.jpg
SRimages_resized/Bicubic/sf2/sigma0.8/71076.png,7.95,SRimages/Bicubic/sf2/sigma0.8/71076.png,GTimages/71076.jpg
SRimages_resized/Bicubic/sf2/sigma0.8/36046.png,7.6,SRimages/Bicubic/sf2/sigma0.8/36046.png,GTimages/36046.jpg
SRimages_resized/Bicubic/sf2/sigma0.8/20069.png,7.5,SRimages/Bicubic/sf2/sigma0.8/20069.png,GTimages/20069.jpg
