img,dist,ver,fpath,elo,ref_img
A0001,00,00,Distortion_1/A0001_00_00.bmp,1520.0648,Train_Ref/A0001.bmp
A0001,00,01,Distortion_1/A0001_00_01.bmp,1437.0798,Train_Ref/A0001.bmp
A0001,00,02,Distortion_1/A0001_00_02.bmp,1546.0616,Train_Ref/A0001.bmp
A0001,00,03,Distortion_1/A0001_00_03.bmp,1539.5688,Train_Ref/A0001.bmp
A0001,00,04,Distortion_1/A0001_00_04.bmp,1411.7958,Train_Ref/A0001.bmp
A0001,00,05,Distortion_1/A0001_00_05.bmp,1610.9721,Train_Ref/A0001.bmp
A0001,00,06,Distortion_1/A0001_00_06.bmp,1575.9760,Train_Ref/A0001.bmp
A0001,00,07,Distortion_1/A0001_00_07.bmp,1448.3310,Train_Ref/A0001.bmp
A0001,00,08,Distortion_1/A0001_00_08.bmp,1524.5227,Train_Ref/A0001.bmp
A0001,00,09,Distortion_1/A0001_00_09.bmp,1461.2762,Train_Ref/A0001.bmp
A0001,00,10,Distortion_1/A0001_00_10.bmp,1424.5617,Train_Ref/A0001.bmp
A0001,00,11,Distortion_1/A0001_00_11.bmp,1531.7810,Train_Ref/A0001.bmp
A0001,01,00,Distortion_1/A0001_01_00.bmp,1586.7071,Train_Ref/A0001.bmp
A0001,01,01,Distortion_1/A0001_01_01.bmp,1511.6000,Train_Ref/A0001.bmp
A0001,01,02,Distortion_1/A0001_01_02.bmp,1481.4167,Train_Ref/A0001.bmp
A0001,01,03,Distortion_1/A0001_01_03.bmp,1575.4945,Train_Ref/A0001.bmp
A0001,01,04,Distortion_1/A0001_01_04.bmp,1476.3725,Train_Ref/A0001.bmp
A0001,01,05,Distortion_1/A0001_01_05.bmp,1465.4315,Train_Ref/A0001.bmp
A0001,01,06,Distortion_1/A0001_01_06.bmp,1604.9029,Train_Ref/A0001.bmp
A0001,01,07,Distortion_1/A0001_01_07.bmp,1516.9305,Train_Ref/A0001.bmp
A0001,01,08,Distortion_1/A0001_01_08.bmp,1461.1111,Train_Ref/A0001.bmp
A0001,01,09,Distortion_1/A0001_01_09.bmp,1611.2134,Train_Ref/A0001.bmp
A0001,01,10,Distortion_1/A0001_01_10.bmp,1549.3926,Train_Ref/A0001.bmp
A0001,01,11,Distortion_1/A0001_01_11.bmp,1496.5623,Train_Ref/A0001.bmp
A0001,01,12,Distortion_1/A0001_01_12.bmp,1566.9786,Train_Ref/A0001.bmp
A0001,01,13,Distortion_1/A0001_01_13.bmp,1520.0873,Train_Ref/A0001.bmp
A0001,01,14,Distortion_1/A0001_01_14.bmp,1453.4077,Train_Ref/A0001.bmp
A0001,01,15,Distortion_1/A0001_01_15.bmp,1316.6042,Train_Ref/A0001.bmp
A0001,02,00,Distortion_1/A0001_02_00.bmp,1544.7361,Train_Ref/A0001.bmp
A0001,02,01,Distortion_1/A0001_02_01.bmp,1479.7630,Train_Ref/A0001.bmp
A0001,02,02,Distortion_1/A0001_02_02.bmp,1531.7070,Train_Ref/A0001.bmp
A0001,02,03,Distortion_1/A0001_02_03.bmp,1593.3177,Train_Ref/A0001.bmp
A0001,02,04,Distortion_1/A0001_02_04.bmp,1630.4493,Train_Ref/A0001.bmp
A0001,02,05,Distortion_1/A0001_02_05.bmp,1468.6587,Train_Ref/A0001.bmp
A0001,02,06,Distortion_1/A0001_02_06.bmp,1452.2635,Train_Ref/A0001.bmp
A0001,02,07,Distortion_1/A0001_02_07.bmp,1419.2962,Train_Ref/A0001.bmp
A0001,02,08,Distortion_1/A0001_02_08.bmp,1467.7863,Train_Ref/A0001.bmp
A0001,02,09,Distortion_1/A0001_02_09.bmp,1648.4733,Train_Ref/A0001.bmp
A0001,03,00,Distortion_1/A0001_03_00.bmp,1436.4545,Train_Ref/A0001.bmp
A0001,03,01,Distortion_1/A0001_03_01.bmp,1458.5881,Train_Ref/A0001.bmp
A0001,03,02,Distortion_1/A0001_03_02.bmp,1415.5105,Train_Ref/A0001.bmp
A0001,03,03,Distortion_1/A0001_03_03.bmp,1538.8832,Train_Ref/A0001.bmp
A0001,03,04,Distortion_1/A0001_03_04.bmp,1556.9272,Train_Ref/A0001.bmp
A0001,03,05,Distortion_1/A0001_03_05.bmp,1476.9873,Train_Ref/A0001.bmp
A0001,03,06,Distortion_1/A0001_03_06.bmp,1569.1729,Train_Ref/A0001.bmp
A0001,03,07,Distortion_1/A0001_03_07.bmp,1502.1847,Train_Ref/A0001.bmp
A0001,03,08,Distortion_1/A0001_03_08.bmp,1587.5296,Train_Ref/A0001.bmp
A0001,03,09,Distortion_1/A0001_03_09.bmp,1552.0743,Train_Ref/A0001.bmp
A0001,03,10,Distortion_1/A0001_03_10.bmp,1538.6814,Train_Ref/A0001.bmp
A0001,03,11,Distortion_1/A0001_03_11.bmp,1504.5145,Train_Ref/A0001.bmp
A0001,03,12,Distortion_1/A0001_03_12.bmp,1522.6538,Train_Ref/A0001.bmp
A0001,03,13,Distortion_1/A0001_03_13.bmp,1458.2145,Train_Ref/A0001.bmp
A0001,03,14,Distortion_1/A0001_03_14.bmp,1547.6724,Train_Ref/A0001.bmp
A0001,03,15,Distortion_1/A0001_03_15.bmp,1535.8348,Train_Ref/A0001.bmp
A0001,03,16,Distortion_1/A0001_03_16.bmp,1439.0394,Train_Ref/A0001.bmp
A0001,03,17,Distortion_1/A0001_03_17.bmp,1518.2302,Train_Ref/A0001.bmp
A0001,03,18,Distortion_1/A0001_03_18.bmp,1496.0894,Train_Ref/A0001.bmp
A0001,03,19,Distortion_1/A0001_03_19.bmp,1514.1802,Train_Ref/A0001.bmp
A0001,03,20,Distortion_1/A0001_03_20.bmp,1375.7528,Train_Ref/A0001.bmp
A0001,03,21,Distortion_1/A0001_03_21.bmp,1357.5142,Train_Ref/A0001.bmp
A0001,03,22,Distortion_1/A0001_03_22.bmp,1382.6152,Train_Ref/A0001.bmp
A0001,03,23,Distortion_1/A0001_03_23.bmp,1249.3100,Train_Ref/A0001.bmp
A0001,04,00,Distortion_1/A0001_04_00.bmp,1472.5852,Train_Ref/A0001.bmp
A0001,04,01,Distortion_1/A0001_04_01.bmp,1444.1955,Train_Ref/A0001.bmp
A0001,04,02,Distortion_1/A0001_04_02.bmp,1516.9249,Train_Ref/A0001.bmp
A0001,04,03,Distortion_1/A0001_04_03.bmp,1477.2269,Train_Ref/A0001.bmp
A0001,04,04,Distortion_1/A0001_04_04.bmp,1318.0293,Train_Ref/A0001.bmp
A0001,04,05,Distortion_1/A0001_04_05.bmp,1481.2997,Train_Ref/A0001.bmp
A0001,04,06,Distortion_1/A0001_04_06.bmp,1357.5061,Train_Ref/A0001.bmp
A0001,04,07,Distortion_1/A0001_04_07.bmp,1282.0638,Train_Ref/A0001.bmp
A0001,04,08,Distortion_1/A0001_04_08.bmp,1511.5047,Train_Ref/A0001.bmp
A0001,04,09,Distortion_1/A0001_04_09.bmp,1406.6489,Train_Ref/A0001.bmp
A0001,04,10,Distortion_1/A0001_04_10.bmp,1287.6819,Train_Ref/A0001.bmp
A0001,04,11,Distortion_1/A0001_04_11.bmp,1446.1554,Train_Ref/A0001.bmp
A0001,04,12,Distortion_1/A0001_04_12.bmp,1570.9820,Train_Ref/A0001.bmp
A0001,05,00,Distortion_1/A0001_05_00.bmp,1444.3378,Train_Ref/A0001.bmp
A0001,05,01,Distortion_1/A0001_05_01.bmp,1228.5922,Train_Ref/A0001.bmp
A0001,05,02,Distortion_1/A0001_05_02.bmp,1291.1351,Train_Ref/A0001.bmp
A0001,05,03,Distortion_1/A0001_05_03.bmp,1095.0250,Train_Ref/A0001.bmp
A0001,05,04,Distortion_1/A0001_05_04.bmp,1425.7449,Train_Ref/A0001.bmp
A0001,05,05,Distortion_1/A0001_05_05.bmp,1242.4201,Train_Ref/A0001.bmp
A0001,05,06,Distortion_1/A0001_05_06.bmp,1372.6331,Train_Ref/A0001.bmp
A0001,05,07,Distortion_1/A0001_05_07.bmp,1178.5314,Train_Ref/A0001.bmp
A0001,05,08,Distortion_1/A0001_05_08.bmp,1310.4339,Train_Ref/A0001.bmp
A0001,05,09,Distortion_1/A0001_05_09.bmp,1301.2492,Train_Ref/A0001.bmp
A0001,05,10,Distortion_1/A0001_05_10.bmp,1462.6314,Train_Ref/A0001.bmp
A0001,05,11,Distortion_1/A0001_05_11.bmp,1444.7098,Train_Ref/A0001.bmp
A0001,05,12,Distortion_1/A0001_05_12.bmp,1490.8838,Train_Ref/A0001.bmp
A0001,05,13,Distortion_1/A0001_05_13.bmp,1308.2832,Train_Ref/A0001.bmp
A0001,06,00,Distortion_1/A0001_06_00.bmp,1529.7369,Train_Ref/A0001.bmp
A0001,06,01,Distortion_1/A0001_06_01.bmp,1393.2487,Train_Ref/A0001.bmp
A0001,06,02,Distortion_1/A0001_06_02.bmp,1435.6947,Train_Ref/A0001.bmp
A0001,06,03,Distortion_1/A0001_06_03.bmp,1464.0109,Train_Ref/A0001.bmp
A0001,06,04,Distortion_1/A0001_06_04.bmp,1244.0279,Train_Ref/A0001.bmp
A0001,06,05,Distortion_1/A0001_06_05.bmp,1436.8015,Train_Ref/A0001.bmp
A0001,06,06,Distortion_1/A0001_06_06.bmp,1187.1072,Train_Ref/A0001.bmp
A0001,06,07,Distortion_1/A0001_06_07.bmp,1280.6660,Train_Ref/A0001.bmp
A0001,06,08,Distortion_1/A0001_06_08.bmp,1490.2756,Train_Ref/A0001.bmp
A0001,06,09,Distortion_1/A0001_06_09.bmp,1301.2428,Train_Ref/A0001.bmp
A0001,06,10,Distortion_1/A0001_06_10.bmp,1231.7246,Train_Ref/A0001.bmp
A0001,06,11,Distortion_1/A0001_06_11.bmp,1413.2745,Train_Ref/A0001.bmp
A0001,06,12,Distortion_1/A0001_06_12.bmp,1397.8305,Train_Ref/A0001.bmp
A0001,06,13,Distortion_1/A0001_06_13.bmp,1358.5466,Train_Ref/A0001.bmp
A0001,06,14,Distortion_1/A0001_06_14.bmp,1332.9900,Train_Ref/A0001.bmp
A0001,06,15,Distortion_1/A0001_06_15.bmp,1177.7289,Train_Ref/A0001.bmp
A0001,06,16,Distortion_1/A0001_06_16.bmp,1572.5274,Train_Ref/A0001.bmp
A0001,06,17,Distortion_1/A0001_06_17.bmp,1528.3198,Train_Ref/A0001.bmp
A0001,06,18,Distortion_1/A0001_06_18.bmp,1568.3055,Train_Ref/A0001.bmp
A0001,06,19,Distortion_1/A0001_06_19.bmp,1569.8589,Train_Ref/A0001.bmp
A0001,06,20,Distortion_1/A0001_06_20.bmp,1533.2661,Train_Ref/A0001.bmp
A0001,06,21,Distortion_1/A0001_06_21.bmp,1493.3416,Train_Ref/A0001.bmp
A0001,06,22,Distortion_1/A0001_06_22.bmp,1546.9490,Train_Ref/A0001.bmp
A0001,06,23,Distortion_1/A0001_06_23.bmp,1554.9234,Train_Ref/A0001.bmp
A0001,06,24,Distortion_1/A0001_06_24.bmp,1503.7319,Train_Ref/A0001.bmp
A0001,06,25,Distortion_1/A0001_06_25.bmp,1385.3685,Train_Ref/A0001.bmp
A0001,06,26,Distortion_1/A0001_06_26.bmp,1294.8478,Train_Ref/A0001.bmp
A0002,00,00,Distortion_1/A0002_00_00.bmp,1466.4372,Train_Ref/A0002.bmp
A0002,00,01,Distortion_1/A0002_00_01.bmp,1292.0443,Train_Ref/A0002.bmp
A0002,00,02,Distortion_1/A0002_00_02.bmp,1597.4977,Train_Ref/A0002.bmp
A0002,00,03,Distortion_1/A0002_00_03.bmp,1464.5430,Train_Ref/A0002.bmp
A0002,00,04,Distortion_1/A0002_00_04.bmp,1292.3154,Train_Ref/A0002.bmp
A0002,00,05,Distortion_1/A0002_00_05.bmp,1639.5436,Train_Ref/A0002.bmp
A0002,00,06,Distortion_1/A0002_00_06.bmp,1539.0781,Train_Ref/A0002.bmp
A0002,00,07,Distortion_1/A0002_00_07.bmp,1366.1633,Train_Ref/A0002.bmp
A0002,00,08,Distortion_1/A0002_00_08.bmp,1660.8397,Train_Ref/A0002.bmp
A0002,00,09,Distortion_1/A0002_00_09.bmp,1518.7667,Train_Ref/A0002.bmp
A0002,00,10,Distortion_1/A0002_00_10.bmp,1425.2177,Train_Ref/A0002.bmp
A0002,00,11,Distortion_1/A0002_00_11.bmp,1357.4667,Train_Ref/A0002.bmp
A0002,01,00,Distortion_1/A0002_01_00.bmp,1647.5090,Train_Ref/A0002.bmp
A0002,01,01,Distortion_1/A0002_01_01.bmp,1506.9449,Train_Ref/A0002.bmp
A0002,01,02,Distortion_1/A0002_01_02.bmp,1381.0955,Train_Ref/A0002.bmp
A0002,01,03,Distortion_1/A0002_01_03.bmp,1625.9401,Train_Ref/A0002.bmp
A0002,01,04,Distortion_1/A0002_01_04.bmp,1430.7819,Train_Ref/A0002.bmp
A0002,01,05,Distortion_1/A0002_01_05.bmp,1326.4815,Train_Ref/A0002.bmp
A0002,01,06,Distortion_1/A0002_01_06.bmp,1552.0243,Train_Ref/A0002.bmp
A0002,01,07,Distortion_1/A0002_01_07.bmp,1585.2124,Train_Ref/A0002.bmp
A0002,01,08,Distortion_1/A0002_01_08.bmp,1334.4996,Train_Ref/A0002.bmp
A0002,01,09,Distortion_1/A0002_01_09.bmp,1518.6642,Train_Ref/A0002.bmp
A0002,01,10,Distortion_1/A0002_01_10.bmp,1629.0488,Train_Ref/A0002.bmp
A0002,01,11,Distortion_1/A0002_01_11.bmp,1455.2359,Train_Ref/A0002.bmp
A0002,01,12,Distortion_1/A0002_01_12.bmp,1571.9161,Train_Ref/A0002.bmp
A0002,01,13,Distortion_1/A0002_01_13.bmp,1539.4274,Train_Ref/A0002.bmp
A0002,01,14,Distortion_1/A0002_01_14.bmp,1544.6607,Train_Ref/A0002.bmp
A0002,01,15,Distortion_1/A0002_01_15.bmp,1162.5677,Train_Ref/A0002.bmp
A0002,02,00,Distortion_1/A0002_02_00.bmp,1526.1929,Train_Ref/A0002.bmp
A0002,02,01,Distortion_1/A0002_02_01.bmp,1555.1544,Train_Ref/A0002.bmp
A0002,02,02,Distortion_1/A0002_02_02.bmp,1590.2321,Train_Ref/A0002.bmp
A0002,02,03,Distortion_1/A0002_02_03.bmp,1655.8041,Train_Ref/A0002.bmp
A0002,02,04,Distortion_1/A0002_02_04.bmp,1502.2534,Train_Ref/A0002.bmp
A0002,02,05,Distortion_1/A0002_02_05.bmp,1277.6157,Train_Ref/A0002.bmp
A0002,02,06,Distortion_1/A0002_02_06.bmp,1379.5047,Train_Ref/A0002.bmp
A0002,02,07,Distortion_1/A0002_02_07.bmp,1465.4481,Train_Ref/A0002.bmp
A0002,02,08,Distortion_1/A0002_02_08.bmp,1604.0604,Train_Ref/A0002.bmp
A0002,02,09,Distortion_1/A0002_02_09.bmp,1549.9312,Train_Ref/A0002.bmp
A0002,03,00,Distortion_1/A0002_03_00.bmp,1491.5759,Train_Ref/A0002.bmp
A0002,03,01,Distortion_1/A0002_03_01.bmp,1509.5229,Train_Ref/A0002.bmp
A0002,03,02,Distortion_1/A0002_03_02.bmp,1350.2893,Train_Ref/A0002.bmp
A0002,03,03,Distortion_1/A0002_03_03.bmp,1473.5550,Train_Ref/A0002.bmp
A0002,03,04,Distortion_1/A0002_03_04.bmp,1397.7961,Train_Ref/A0002.bmp
A0002,03,05,Distortion_1/A0002_03_05.bmp,1415.5395,Train_Ref/A0002.bmp
A0002,03,06,Distortion_1/A0002_03_06.bmp,1394.2690,Train_Ref/A0002.bmp
A0002,03,07,Distortion_1/A0002_03_07.bmp,1536.6133,Train_Ref/A0002.bmp
A0002,03,08,Distortion_1/A0002_03_08.bmp,1481.2526,Train_Ref/A0002.bmp
A0002,03,09,Distortion_1/A0002_03_09.bmp,1522.1848,Train_Ref/A0002.bmp
A0002,03,10,Distortion_1/A0002_03_10.bmp,1454.7654,Train_Ref/A0002.bmp
A0002,03,11,Distortion_1/A0002_03_11.bmp,1460.3323,Train_Ref/A0002.bmp
A0002,03,12,Distortion_1/A0002_03_12.bmp,1561.1936,Train_Ref/A0002.bmp
A0002,03,13,Distortion_1/A0002_03_13.bmp,1494.0889,Train_Ref/A0002.bmp
A0002,03,14,Distortion_1/A0002_03_14.bmp,1574.7718,Train_Ref/A0002.bmp
A0002,03,15,Distortion_1/A0002_03_15.bmp,1503.6110,Train_Ref/A0002.bmp
A0002,03,16,Distortion_1/A0002_03_16.bmp,1459.4303,Train_Ref/A0002.bmp
A0002,03,17,Distortion_1/A0002_03_17.bmp,1545.4060,Train_Ref/A0002.bmp
A0002,03,18,Distortion_1/A0002_03_18.bmp,1483.8580,Train_Ref/A0002.bmp
A0002,03,19,Distortion_1/A0002_03_19.bmp,1574.1679,Train_Ref/A0002.bmp
A0002,03,20,Distortion_1/A0002_03_20.bmp,1437.3489,Train_Ref/A0002.bmp
A0002,03,21,Distortion_1/A0002_03_21.bmp,1222.1293,Train_Ref/A0002.bmp
A0002,03,22,Distortion_1/A0002_03_22.bmp,1453.6789,Train_Ref/A0002.bmp
A0002,03,23,Distortion_1/A0002_03_23.bmp,1383.1850,Train_Ref/A0002.bmp
A0002,04,00,Distortion_1/A0002_04_00.bmp,1578.6364,Train_Ref/A0002.bmp
A0002,04,01,Distortion_1/A0002_04_01.bmp,1524.0320,Train_Ref/A0002.bmp
A0002,04,02,Distortion_1/A0002_04_02.bmp,1551.6013,Train_Ref/A0002.bmp
A0002,04,03,Distortion_1/A0002_04_03.bmp,1635.1106,Train_Ref/A0002.bmp
A0002,04,04,Distortion_1/A0002_04_04.bmp,1525.4101,Train_Ref/A0002.bmp
A0002,04,05,Distortion_1/A0002_04_05.bmp,1541.4523,Train_Ref/A0002.bmp
A0002,04,06,Distortion_1/A0002_04_06.bmp,1504.1831,Train_Ref/A0002.bmp
A0002,04,07,Distortion_1/A0002_04_07.bmp,1381.0382,Train_Ref/A0002.bmp
A0002,04,08,Distortion_1/A0002_04_08.bmp,1539.5602,Train_Ref/A0002.bmp
A0002,04,09,Distortion_1/A0002_04_09.bmp,1471.2952,Train_Ref/A0002.bmp
A0002,04,10,Distortion_1/A0002_04_10.bmp,1486.8207,Train_Ref/A0002.bmp
A0002,04,11,Distortion_1/A0002_04_11.bmp,1572.3921,Train_Ref/A0002.bmp
A0002,04,12,Distortion_1/A0002_04_12.bmp,1560.4341,Train_Ref/A0002.bmp
A0002,05,00,Distortion_1/A0002_05_00.bmp,1520.7207,Train_Ref/A0002.bmp
A0002,05,01,Distortion_1/A0002_05_01.bmp,1287.9761,Train_Ref/A0002.bmp
A0002,05,02,Distortion_1/A0002_05_02.bmp,1358.1855,Train_Ref/A0002.bmp
A0002,05,03,Distortion_1/A0002_05_03.bmp,1054.1297,Train_Ref/A0002.bmp
A0002,05,04,Distortion_1/A0002_05_04.bmp,1555.2347,Train_Ref/A0002.bmp
A0002,05,05,Distortion_1/A0002_05_05.bmp,1523.4139,Train_Ref/A0002.bmp
A0002,05,06,Distortion_1/A0002_05_06.bmp,1308.4726,Train_Ref/A0002.bmp
A0002,05,07,Distortion_1/A0002_05_07.bmp,1348.5315,Train_Ref/A0002.bmp
A0002,05,08,Distortion_1/A0002_05_08.bmp,1236.9753,Train_Ref/A0002.bmp
A0002,05,09,Distortion_1/A0002_05_09.bmp,1334.7999,Train_Ref/A0002.bmp
A0002,05,10,Distortion_1/A0002_05_10.bmp,1447.6773,Train_Ref/A0002.bmp
A0002,05,11,Distortion_1/A0002_05_11.bmp,1287.9503,Train_Ref/A0002.bmp
A0002,05,12,Distortion_1/A0002_05_12.bmp,1325.4418,Train_Ref/A0002.bmp
A0002,05,13,Distortion_1/A0002_05_13.bmp,1127.5346,Train_Ref/A0002.bmp
A0002,06,00,Distortion_1/A0002_06_00.bmp,1176.3979,Train_Ref/A0002.bmp
A0002,06,01,Distortion_1/A0002_06_01.bmp,1144.8711,Train_Ref/A0002.bmp
A0002,06,02,Distortion_1/A0002_06_02.bmp,1349.4011,Train_Ref/A0002.bmp
