fpath,img,dist,ver,mos,ref_img
distorted_images/i01_01_1.bmp,I01,01,1,5.51429,reference_images/i01.bmp
distorted_images/i01_01_2.bmp,I01,01,2,5.56757,reference_images/i01.bmp
distorted_images/i01_01_3.bmp,I01,01,3,4.94444,reference_images/i01.bmp
distorted_images/i01_01_4.bmp,I01,01,4,4.37838,reference_images/i01.bmp
distorted_images/i01_01_5.bmp,I01,01,5,3.8648599999999997,reference_images/i01.bmp
distorted_images/i01_02_1.bmp,I01,02,1,6.028569999999999,reference_images/i01.bmp
distorted_images/i01_02_2.bmp,I01,02,2,6.10811,reference_images/i01.bmp
distorted_images/i01_02_3.bmp,I01,02,3,5.38889,reference_images/i01.bmp
distorted_images/i01_02_4.bmp,I01,02,4,4.71429,reference_images/i01.bmp
distorted_images/i01_02_5.bmp,I01,02,5,4.36111,reference_images/i01.bmp
distorted_images/i01_03_1.bmp,I01,03,1,4.7714300000000005,reference_images/i01.bmp
distorted_images/i01_03_2.bmp,I01,03,2,4.27027,reference_images/i01.bmp
distorted_images/i01_03_3.bmp,I01,03,3,3.7027,reference_images/i01.bmp
distorted_images/i01_03_4.bmp,I01,03,4,3.19444,reference_images/i01.bmp
distorted_images/i01_03_5.bmp,I01,03,5,2.71429,reference_images/i01.bmp
distorted_images/i01_04_1.bmp,I01,04,1,5.971430000000001,reference_images/i01.bmp
distorted_images/i01_04_2.bmp,I01,04,2,5.75676,reference_images/i01.bmp
distorted_images/i01_04_3.bmp,I01,04,3,5.27027,reference_images/i01.bmp
distorted_images/i01_04_4.bmp,I01,04,4,5.24324,reference_images/i01.bmp
distorted_images/i01_04_5.bmp,I01,04,5,4.71429,reference_images/i01.bmp
distorted_images/i01_05_1.bmp,I01,05,1,5.91892,reference_images/i01.bmp
distorted_images/i01_05_2.bmp,I01,05,2,5.7027,reference_images/i01.bmp
distorted_images/i01_05_3.bmp,I01,05,3,5.08333,reference_images/i01.bmp
distorted_images/i01_05_4.bmp,I01,05,4,4.13889,reference_images/i01.bmp
distorted_images/i01_05_5.bmp,I01,05,5,3.13889,reference_images/i01.bmp
distorted_images/i01_06_1.bmp,I01,06,1,4.0,reference_images/i01.bmp
distorted_images/i01_06_2.bmp,I01,06,2,3.89189,reference_images/i01.bmp
distorted_images/i01_06_3.bmp,I01,06,3,3.7297300000000004,reference_images/i01.bmp
distorted_images/i01_06_4.bmp,I01,06,4,3.4857099999999996,reference_images/i01.bmp
distorted_images/i01_06_5.bmp,I01,06,5,2.94444,reference_images/i01.bmp
distorted_images/i01_07_1.bmp,I01,07,1,5.08333,reference_images/i01.bmp
distorted_images/i01_07_2.bmp,I01,07,2,4.75,reference_images/i01.bmp
distorted_images/i01_07_3.bmp,I01,07,3,4.0,reference_images/i01.bmp
distorted_images/i01_07_4.bmp,I01,07,4,3.22222,reference_images/i01.bmp
distorted_images/i01_07_5.bmp,I01,07,5,2.19444,reference_images/i01.bmp
distorted_images/i01_08_1.bmp,I01,08,1,5.18919,reference_images/i01.bmp
distorted_images/i01_08_2.bmp,I01,08,2,4.47222,reference_images/i01.bmp
distorted_images/i01_08_3.bmp,I01,08,3,3.4864900000000003,reference_images/i01.bmp
distorted_images/i01_08_4.bmp,I01,08,4,3.0,reference_images/i01.bmp
distorted_images/i01_08_5.bmp,I01,08,5,2.11111,reference_images/i01.bmp
distorted_images/i01_09_1.bmp,I01,09,1,6.08333,reference_images/i01.bmp
distorted_images/i01_09_2.bmp,I01,09,2,5.16667,reference_images/i01.bmp
distorted_images/i01_09_3.bmp,I01,09,3,4.42857,reference_images/i01.bmp
distorted_images/i01_09_4.bmp,I01,09,4,2.81081,reference_images/i01.bmp
distorted_images/i01_09_5.bmp,I01,09,5,1.54054,reference_images/i01.bmp
distorted_images/i01_10_1.bmp,I01,10,1,5.97297,reference_images/i01.bmp
distorted_images/i01_10_2.bmp,I01,10,2,5.94595,reference_images/i01.bmp
distorted_images/i01_10_3.bmp,I01,10,3,4.91667,reference_images/i01.bmp
distorted_images/i01_10_4.bmp,I01,10,4,3.21622,reference_images/i01.bmp
distorted_images/i01_10_5.bmp,I01,10,5,2.08108,reference_images/i01.bmp
distorted_images/i01_11_1.bmp,I01,11,1,5.91429,reference_images/i01.bmp
distorted_images/i01_11_2.bmp,I01,11,2,5.675680000000001,reference_images/i01.bmp
distorted_images/i01_11_3.bmp,I01,11,3,4.69444,reference_images/i01.bmp
distorted_images/i01_11_4.bmp,I01,11,4,3.6756800000000003,reference_images/i01.bmp
distorted_images/i01_11_5.bmp,I01,11,5,1.45946,reference_images/i01.bmp
distorted_images/i01_12_1.bmp,I01,12,1,5.94595,reference_images/i01.bmp
distorted_images/i01_12_2.bmp,I01,12,2,5.86486,reference_images/i01.bmp
distorted_images/i01_12_3.bmp,I01,12,3,4.21622,reference_images/i01.bmp
distorted_images/i01_12_4.bmp,I01,12,4,3.83333,reference_images/i01.bmp
distorted_images/i01_12_5.bmp,I01,12,5,3.43243,reference_images/i01.bmp
distorted_images/i01_13_1.bmp,I01,13,1,5.45946,reference_images/i01.bmp
distorted_images/i01_13_2.bmp,I01,13,2,3.9142900000000003,reference_images/i01.bmp
distorted_images/i01_13_3.bmp,I01,13,3,3.2777800000000004,reference_images/i01.bmp
distorted_images/i01_13_4.bmp,I01,13,4,3.16667,reference_images/i01.bmp
distorted_images/i01_13_5.bmp,I01,13,5,3.10811,reference_images/i01.bmp
distorted_images/i01_14_1.bmp,I01,14,1,5.69444,reference_images/i01.bmp
distorted_images/i01_14_2.bmp,I01,14,2,6.05405,reference_images/i01.bmp
distorted_images/i01_14_3.bmp,I01,14,3,5.75676,reference_images/i01.bmp
distorted_images/i01_14_4.bmp,I01,14,4,5.55556,reference_images/i01.bmp
distorted_images/i01_14_5.bmp,I01,14,5,4.4705900000000005,reference_images/i01.bmp
distorted_images/i01_15_1.bmp,I01,15,1,2.83333,reference_images/i01.bmp
distorted_images/i01_15_2.bmp,I01,15,2,2.82857,reference_images/i01.bmp
distorted_images/i01_15_3.bmp,I01,15,3,3.10811,reference_images/i01.bmp
distorted_images/i01_15_4.bmp,I01,15,4,3.58333,reference_images/i01.bmp
distorted_images/i01_15_5.bmp,I01,15,5,3.89189,reference_images/i01.bmp
distorted_images/i01_16_1.bmp,I01,16,1,5.80556,reference_images/i01.bmp
distorted_images/i01_16_2.bmp,I01,16,2,6.05405,reference_images/i01.bmp
distorted_images/i01_16_3.bmp,I01,16,3,4.88889,reference_images/i01.bmp
distorted_images/i01_16_4.bmp,I01,16,4,5.02778,reference_images/i01.bmp
distorted_images/i01_16_5.bmp,I01,16,5,4.19444,reference_images/i01.bmp
distorted_images/i01_17_1.bmp,I01,17,1,5.35135,reference_images/i01.bmp
distorted_images/i01_17_2.bmp,I01,17,2,6.62162,reference_images/i01.bmp
distorted_images/i01_17_3.bmp,I01,17,3,4.08108,reference_images/i01.bmp
distorted_images/i01_17_4.bmp,I01,17,4,6.24324,reference_images/i01.bmp
distorted_images/i01_17_5.bmp,I01,17,5,2.97143,reference_images/i01.bmp
distorted_images/i01_18_1.bmp,I01,18,1,4.62162,reference_images/i01.bmp
distorted_images/i01_18_2.bmp,I01,18,2,4.22222,reference_images/i01.bmp
